id,path,acoustic_label,health_label,device_label,cluster
cold1,dataset\acoustic\cold\cold1.mp3,cold,healthy,maono,1
cold2,dataset\acoustic\cold\cold2.mp3,cold,healthy,maono,1
logitechFatigue1,dataset\acoustic\fatigue\logitechFatigue1.mp3,fatigue,unhealthy,logitech,0
logitechFatigue2,dataset\acoustic\fatigue\logitechFatigue2.mp3,fatigue,unhealthy,logitech,0
logitechMorning1,dataset\acoustic\fatigue\logitechMorning1.mp3,fatigue,unhealthy,logitech,0
maonoFatigue1,dataset\acoustic\fatigue\maonoFatigue1.mp3,fatigue,unhealthy,maono,1
maonoFatigue2,dataset\acoustic\fatigue\maonoFatigue2.mp3,fatigue,unhealthy,maono,1
maonoMorning1,dataset\acoustic\fatigue\maonoMorning1.mp3,fatigue,unhealthy,maono,1
Fhoarsed1,dataset\acoustic\hoarsed\Fhoarsed1.mp3,hoarsed,pretended,maono,1
Fhoarsed2,dataset\acoustic\hoarsed\Fhoarsed2.mp3,hoarsed,pretended,maono,1
hoarsed2,dataset\acoustic\hoarsed\hoarsed2.mp3,hoarsed,pretended,maono,1
hoarsed3,dataset\acoustic\hoarsed\hoarsed3.mp3,hoarsed,pretended,maono,1
hoarsed4,dataset\acoustic\hoarsed\hoarsed4.mp3,hoarsed,pretended,maono,1
hoarsed5,dataset\acoustic\hoarsed\hoarsed5.mp3,hoarsed,pretended,maono,1
hoarsed6,dataset\acoustic\hoarsed\hoarsed6.mp3,hoarsed,pretended,maono,1
logitechAbitHoarsed,dataset\acoustic\hoarsed\logitechAbitHoarsed.mp3,hoarsed,pretended,logitech,0
logitechHoarsed,dataset\acoustic\hoarsed\logitechHoarsed.mp3,hoarsed,pretended,logitech,0
maonoAbitHoarsed,dataset\acoustic\hoarsed\maonoAbitHoarsed.mp3,hoarsed,pretended,maono,1
maonohoarsed,dataset\acoustic\hoarsed\maonohoarsed.mp3,hoarsed,pretended,maono,1
Mhoarsed1,dataset\acoustic\hoarsed\Mhoarsed1.mp3,hoarsed,pretended,maono,1
Mhoarsed3,dataset\acoustic\hoarsed\Mhoarsed3.mp3,hoarsed,pretended,maono,1
realHoarsed1,dataset\acoustic\hoarsed\realHoarsed1.mp3,hoarsed,unhealthy,maono,1
realHoarsed2,dataset\acoustic\hoarsed\realHoarsed2.mp3,hoarsed,unhealthy,maono,1
Fnormal1,dataset\acoustic\normal\Fnormal1.mp3,normal,healthy,maono,1
Fnormal2,dataset\acoustic\normal\Fnormal2.mp3,normal,healthy,maono,1
Fnormal3,dataset\acoustic\normal\Fnormal3.mp3,normal,healthy,maono,1
logitechNormal,dataset\acoustic\normal\logitechNormal.mp3,normal,healthy,logitech,0
logitechStrain,dataset\acoustic\normal\logitechStrain.mp3,normal,healthy,logitech,0
maonoNormal,dataset\acoustic\normal\maonoNormal.mp3,normal,healthy,maono,1
maonoStrain,dataset\acoustic\normal\maonoStrain.mp3,normal,healthy,maono,1
Mnormal1,dataset\acoustic\normal\Mnormal1.mp3,normal,healthy,maono,1
Mnormal2,dataset\acoustic\normal\Mnormal2.mp3,normal,healthy,maono,1
Mnormal3,dataset\acoustic\normal\Mnormal3.mp3,normal,healthy,maono,1
normal2,dataset\acoustic\normal\normal2.mp3,normal,healthy,maono,1
normal3,dataset\acoustic\normal\normal3.mp3,normal,healthy,maono,1
normal4,dataset\acoustic\normal\normal4.mp3,normal,healthy,maono,1
normal5,dataset\acoustic\normal\normal5.mp3,normal,healthy,maono,1
logitechScream,dataset\acoustic\Scream\logitechScream.mp3,Scream,pretended,logitech,0
maonoScream,dataset\acoustic\Scream\maonoScream.mp3,Scream,pretended,maono,1
Mhoarsed2-wind,dataset\acoustic\wind\Mhoarsed2-wind.mp3,wind,pretended,maono,1
totalWind,dataset\acoustic\wind\totalWind.mp3,wind,pretended,maono,1
