experiment,feature_set,n_samples,n_features,original_features,pca_features,pca_explained_variance,silhouette,ari,nmi,cluster_purity
parkinson_speech_26,all_features,1208,26,26,20,0.998669,0.249981,0.012146,0.008058,0.569536
parkinson_speech_26,without_cepstral,1208,26,26,20,0.998669,0.249981,0.012146,0.008058,0.569536
parkinson_speech_26,without_mfcc_mean,1208,26,26,20,0.998669,0.249981,0.012146,0.008058,0.569536
parkinson_speech_26,without_top_device_features,1208,26,26,20,0.998669,0.249981,0.012146,0.008058,0.569536
parkinson_speech_26,voice_quality_only,1208,11,11,11,1.000000,0.386398,0.000996,0.000573,0.569536
parkinson_speech_26,perturbation_only,1208,11,11,11,1.000000,0.386398,0.000996,0.000573,0.569536
parkinson_speech_26,noise_only,1208,2,2,2,1.000000,0.477247,0.016357,0.017952,0.569536
parkinson_speech_26,pitch_only,1208,2,2,2,1.000000,0.609584,0.045448,0.035005,0.617550
replicated_acoustic,all_features,240,44,44,20,0.958252,0.310617,0.409273,0.323879,0.820833
replicated_acoustic,without_cepstral,240,31,31,20,0.994677,0.273479,0.453338,0.359794,0.837500
replicated_acoustic,without_mfcc_mean,240,44,44,20,0.958252,0.310617,0.409273,0.323879,0.820833
replicated_acoustic,without_top_device_features,240,44,44,20,0.958252,0.310617,0.409273,0.323879,0.820833
replicated_acoustic,voice_quality_only,240,9,9,9,1.000000,0.417073,0.214646,0.176508,0.733333
replicated_acoustic,cepstral_noise,240,18,18,18,1.000000,0.362918,0.357338,0.283239,0.800000
replicated_acoustic,perturbation_only,240,4,4,4,1.000000,0.942373,0.000000,0.008045,0.504167
replicated_acoustic,noise_only,240,5,5,5,1.000000,0.525994,0.191773,0.151607,0.720833
replicated_acoustic,cepstral_only,240,13,13,13,1.000000,0.387490,0.337525,0.264999,0.791667
audio_folder_acoustic_label_clustering,all_features,41,43,43,20,0.979219,0.218410,0.069403,0.341046,0.560976
audio_folder_acoustic_label_clustering,without_cepstral,41,17,17,17,1.000000,0.246664,0.177362,0.470759,0.658537
audio_folder_acoustic_label_clustering,without_mfcc_mean,41,30,30,20,0.992095,0.207327,0.108844,0.407872,0.609756
audio_folder_acoustic_label_clustering,without_top_device_features,41,34,34,20,0.988221,0.231337,0.089867,0.387204,0.560976
audio_folder_acoustic_label_clustering,voice_quality_only,41,11,11,11,1.000000,0.316732,0.137016,0.418467,0.634146
audio_folder_acoustic_label_clustering,cepstral_noise,41,27,27,20,0.990886,0.189601,-0.001003,0.217241,0.487805
audio_folder_acoustic_label_clustering,cepstral_noise_nonlinear,41,29,29,20,0.988038,0.260891,0.028965,0.320797,0.536585
audio_folder_acoustic_label_clustering,perturbation_only,41,2,2,2,1.000000,0.532920,0.150145,0.405826,0.634146
audio_folder_acoustic_label_clustering,pitch_only,41,5,5,5,1.000000,0.514919,0.130540,0.383195,0.585366
audio_folder_acoustic_label_clustering,nonlinear_only,41,2,2,2,1.000000,0.462771,0.111471,0.356813,0.585366
audio_folder_acoustic_label_clustering,cepstral_only,41,26,26,20,0.992259,0.212611,-0.012305,0.213444,0.439024
audio_folder_health_label_clustering,all_features,41,43,43,20,0.979219,0.245111,0.239950,0.307755,0.658537
audio_folder_health_label_clustering,without_cepstral,41,17,17,17,1.000000,0.270105,0.264304,0.298609,0.707317
audio_folder_health_label_clustering,without_mfcc_mean,41,30,30,20,0.992095,0.188737,0.275255,0.339800,0.682927
audio_folder_health_label_clustering,without_top_device_features,41,34,34,20,0.988221,0.250990,0.122971,0.291931,0.634146
audio_folder_health_label_clustering,voice_quality_only,41,11,11,11,1.000000,0.393452,0.204660,0.332039,0.682927
audio_folder_health_label_clustering,cepstral_noise,41,27,27,20,0.990886,0.224315,-0.012123,0.082456,0.414634
audio_folder_health_label_clustering,cepstral_noise_nonlinear,41,29,29,20,0.988038,0.223062,-0.002758,0.090206,0.439024
audio_folder_health_label_clustering,perturbation_only,41,2,2,2,1.000000,0.570642,0.153646,0.264309,0.658537
