feature,difference,abs_difference,relation,label_a,label_b
f0_std_hz,0.08998469894060268,0.08998469894060268,similar,Scream,cold
mfcc_5_mean,0.17070036031576852,0.17070036031576852,similar,Scream,cold
spectral_centroid_mean_hz,0.1748428425187099,0.1748428425187099,similar,Scream,cold
mfcc_7_mean,0.3194811449600201,0.3194811449600201,similar,Scream,cold
mfcc_2_std,0.3821430607175018,0.3821430607175018,similar,Scream,cold
mfcc_10_std,0.5938679825367361,0.5938679825367361,similar,Scream,cold
mfcc_6_std,0.6462044130336599,0.6462044130336599,similar,Scream,cold
mfcc_7_std,0.7428985107090014,0.7428985107090014,similar,Scream,cold
spectral_centroid_std_hz,0.864734886884074,0.864734886884074,similar,Scream,cold
mfcc_8_std,0.9063400261729542,0.9063400261729542,similar,Scream,cold
mfcc_3_mean,3.321257663299857,3.321257663299857,different,Scream,cold
mfcc_9_mean,3.201308052768542,3.201308052768542,different,Scream,cold
mfcc_13_mean,3.137776285744472,3.137776285744472,different,Scream,cold
alpha_ratio_db,3.032927751140617,3.032927751140617,different,Scream,cold
mfcc_1_mean,3.021666161697193,3.021666161697193,different,Scream,cold
mfcc_4_mean,2.9502067073323563,2.9502067073323563,different,Scream,cold
mfcc_3_std,2.783829195727494,2.783829195727494,different,Scream,cold
spectral_flux_mean,2.7329818147735643,2.7329818147735643,different,Scream,cold
mfcc_1_std,2.5743913747139655,2.5743913747139655,different,Scream,cold
spectral_entropy,2.5692468604017193,2.5692468604017193,different,Scream,cold
mfcc_6_mean,0.21174586005459983,0.21174586005459983,similar,Scream,fatigue
spectral_centroid_std_hz,0.23977330967802946,0.23977330967802946,similar,Scream,fatigue
spectral_flux_std,0.3220324779628867,0.3220324779628867,similar,Scream,fatigue
mfcc_5_std,0.4700231696129926,0.4700231696129926,similar,Scream,fatigue
mfcc_10_mean,0.48696279181947655,0.48696279181947655,similar,Scream,fatigue
mfcc_8_std,0.5756314387553536,0.5756314387553536,similar,Scream,fatigue
mfcc_8_mean,0.5940242516015611,0.5940242516015611,similar,Scream,fatigue
mfcc_7_mean,0.6233393180899812,0.6233393180899812,similar,Scream,fatigue
mfcc_2_mean,0.6717554883264569,0.6717554883264569,similar,Scream,fatigue
spectral_entropy,0.8485244142141102,0.8485244142141102,similar,Scream,fatigue
mfcc_12_std,2.973312004535244,2.973312004535244,different,Scream,fatigue
mfcc_1_mean,2.941383652973524,2.941383652973524,different,Scream,fatigue
mfcc_13_std,2.685023898169862,2.685023898169862,different,Scream,fatigue
mfcc_13_mean,2.5481489148739134,2.5481489148739134,different,Scream,fatigue
mfcc_4_std,2.17816636815467,2.17816636815467,different,Scream,fatigue
f0_voiced_ratio,2.1736328824397493,2.1736328824397493,different,Scream,fatigue
spectral_flux_mean,2.164886110629029,2.164886110629029,different,Scream,fatigue
cpps_db,1.993673996314898,1.993673996314898,different,Scream,fatigue
shimmer_local,1.9819851590281539,1.9819851590281539,different,Scream,fatigue
sample_entropy,1.9582978705891891,1.9582978705891891,different,Scream,fatigue
mfcc_8_std,0.008941503622160563,0.008941503622160563,similar,Scream,hoarsed
mfcc_2_mean,0.030920633606262404,0.030920633606262404,similar,Scream,hoarsed
mfcc_10_std,0.09637203027423244,0.09637203027423244,similar,Scream,hoarsed
mfcc_9_std,0.15675795713801666,0.15675795713801666,similar,Scream,hoarsed
mfcc_11_mean,0.17734201097504734,0.17734201097504734,similar,Scream,hoarsed
mfcc_4_std,0.20524640266625582,0.20524640266625582,similar,Scream,hoarsed
spectral_centroid_mean_hz,0.510018354407322,0.510018354407322,similar,Scream,hoarsed
spectral_entropy,0.6191572835236141,0.6191572835236141,similar,Scream,hoarsed
mfcc_5_mean,0.6657909405961713,0.6657909405961713,similar,Scream,hoarsed
mfcc_13_std,0.6702330970684323,0.6702330970684323,similar,Scream,hoarsed
mfcc_13_mean,2.6078995215242005,2.6078995215242005,different,Scream,hoarsed
f0_std_hz,2.5813139828874254,2.5813139828874254,different,Scream,hoarsed
mfcc_4_mean,2.2798127121170517,2.2798127121170517,different,Scream,hoarsed
mfcc_3_mean,2.176495863257854,2.176495863257854,different,Scream,hoarsed
mfcc_1_std,2.073455634782303,2.073455634782303,different,Scream,hoarsed
f0_min_hz,1.9296582064182357,1.9296582064182357,different,Scream,hoarsed
mfcc_10_mean,1.830410911990496,1.830410911990496,different,Scream,hoarsed
mfcc_1_mean,1.8254018471941715,1.8254018471941715,different,Scream,hoarsed
alpha_ratio_db,1.80369853837642,1.80369853837642,different,Scream,hoarsed
cpps_db,1.765529756042986,1.765529756042986,different,Scream,hoarsed
mfcc_10_std,0.08177600829865551,0.08177600829865551,similar,Scream,normal
mfcc_5_std,0.1082822563425111,0.1082822563425111,similar,Scream,normal
f0_std_hz,0.12144079632555926,0.12144079632555926,similar,Scream,normal
mfcc_2_mean,0.34479349000559906,0.34479349000559906,similar,Scream,normal
mfcc_11_std,0.3663547405115092,0.3663547405115092,similar,Scream,normal
mfcc_8_std,0.4681162374424813,0.4681162374424813,similar,Scream,normal
mfcc_9_std,0.5031858208441112,0.5031858208441112,similar,Scream,normal
mfcc_3_std,0.5791613841728983,0.5791613841728983,similar,Scream,normal
mfcc_11_mean,0.6352453395163915,0.6352453395163915,similar,Scream,normal
mfcc_6_mean,0.8744614917071517,0.8744614917071517,similar,Scream,normal
mfcc_1_std,3.144752350902826,3.144752350902826,different,Scream,normal
spectral_flux_std,3.0736808518428775,3.0736808518428775,different,Scream,normal
mfcc_5_mean,2.657293389945786,2.657293389945786,different,Scream,normal
hnr_db,2.5621393909528107,2.5621393909528107,different,Scream,normal
mfcc_2_std,2.5277419760102275,2.5277419760102275,different,Scream,normal
mfcc_3_mean,2.4458316313416852,2.4458316313416852,different,Scream,normal
mfcc_12_mean,2.4446356360776487,2.4446356360776487,different,Scream,normal
spectral_flux_mean,2.418155511338531,2.418155511338531,different,Scream,normal
cpps_db,2.3945820628467445,2.3945820628467445,different,Scream,normal
shimmer_local,2.335421860068278,2.335421860068278,different,Scream,normal
f0_voiced_ratio,0.02186596590648282,0.02186596590648282,similar,Scream,wind
mfcc_13_std,0.0613850036289072,0.0613850036289072,similar,Scream,wind
mfcc_3_std,0.07251362898560165,0.07251362898560165,similar,Scream,wind
shimmer_local,0.09882512587234182,0.09882512587234182,similar,Scream,wind
hnr_db,0.22925961837160647,0.22925961837160647,similar,Scream,wind
mfcc_9_std,0.23735791640207293,0.23735791640207293,similar,Scream,wind
sample_entropy,0.24182918921318697,0.24182918921318697,similar,Scream,wind
f0_std_hz,0.2643108346578363,0.2643108346578363,similar,Scream,wind
cpps_db,0.2722822196607657,0.2722822196607657,similar,Scream,wind
spectral_entropy,0.27330664041374764,0.27330664041374764,similar,Scream,wind
mfcc_12_mean,3.2963647457612364,3.2963647457612364,different,Scream,wind
spectral_centroid_std_hz,3.093464081684362,3.093464081684362,different,Scream,wind
mfcc_4_mean,2.897195564114988,2.897195564114988,different,Scream,wind
mfcc_6_mean,2.5086176826466775,2.5086176826466775,different,Scream,wind
mfcc_5_std,2.4867487218581235,2.4867487218581235,different,Scream,wind
mfcc_7_mean,2.4522247187526713,2.4522247187526713,different,Scream,wind
mfcc_8_std,2.331750509581506,2.331750509581506,different,Scream,wind
mfcc_1_std,2.250979478144132,2.250979478144132,different,Scream,wind
mfcc_2_mean,2.094596094811601,2.094596094811601,different,Scream,wind
mfcc_10_mean,2.0586239730448277,2.0586239730448277,different,Scream,wind
f0_mean_hz,0.0284861430015384,0.0284861430015384,similar,cold,fatigue
mfcc_1_mean,0.08028250872366904,0.08028250872366904,similar,cold,fatigue
jitter_local,0.09716899268199974,0.09716899268199974,similar,cold,fatigue
f0_voiced_ratio,0.1010008980119319,0.1010008980119319,similar,cold,fatigue
mfcc_12_mean,0.11722884179133089,0.11722884179133089,similar,cold,fatigue
f0_max_hz,0.16539566426006214,0.16539566426006214,similar,cold,fatigue
f0_min_hz,0.32574332938142386,0.32574332938142386,similar,cold,fatigue
mfcc_12_std,0.40415844151533875,0.40415844151533875,similar,cold,fatigue
shimmer_local,0.46319704387043403,0.46319704387043403,similar,cold,fatigue
sample_entropy,0.5311834632079037,0.5311834632079037,similar,cold,fatigue
mfcc_2_mean,2.4549268450076864,2.4549268450076864,different,cold,fatigue
mfcc_6_mean,2.3070624693768447,2.3070624693768447,different,cold,fatigue
mfcc_9_mean,2.163515837422174,2.163515837422174,different,cold,fatigue
mfcc_10_mean,1.9978535503459804,1.9978535503459804,different,cold,fatigue
mfcc_2_std,1.8604391752178102,1.8604391752178102,different,cold,fatigue
spectral_entropy,1.7207224461876094,1.7207224461876094,different,cold,fatigue
mfcc_5_std,1.7136618252303166,1.7136618252303166,different,cold,fatigue
f0_std_hz,1.7044187121420045,1.7044187121420045,different,cold,fatigue
